,ct1,ct2,ch1,ch2,di,dj,dk,vwi,vwj,cost
vanilla,0.010692802638448122,,,,,,,,,1.0350480363962382
custom,0.019165195487055173,0.11151661454381057,,,,,,,,0.7800029767223536
vanilla_dk,0.010919328997236702,,,,,,0.9874071761587774,,,0.772745454167629
custom_with_dk,0.013786113467194636,0.03865071434583534,,,,,0.6018453730029893,,,0.766034323141561
ai_nodrag,,,,,,,,,,0.2906702248676472
ai_drag,,,,,0.9973096157630986,,,,,0.19970441616272366
ai_h,,,0.01119898096515072,-0.142605963486179,,,,,,0.18977135829983433
ai_drag_and_h,,,0.00655981455065144,-0.12817920061836122,0.29245170662357395,,,,,0.18809131949658087
aj_nodrag,,,,,,,,,,0.8318741241478218
aj_drag,,,,,,0.19255383664555525,,,,0.42679865463845423
aj_h,,,0.0032342933248315307,-0.2043435272666541,,,,,,0.33175342111307804
aj_drag_and_h,,,0.0017621466744255233,-0.19653787092615543,,0.022857232655007796,,,,0.33015067792719377
aij_h,,,0.004177378193629787,-0.19567809198901587,,,,,,0.38334834193993655
aij_h_and_drag,,,0.0019445037192226012,-0.19372090949077042,0.26934844685847226,0.02340712311493552,,,,0.3800420230732787
aij_h_drag_equal_coeffs,,,0.003609946478811236,-0.19010641187533567,0.011741677326289706,0.011741677326289706,,,,0.382899993710334
global,0.012208296170208166,0.017477618518614766,0.004893200951108448,-0.18339557774372572,0.028995892806098312,0.004130842893156312,0.39810055280419904,,,0.13828760647802205
global_equal_coeffs,0.011335246508478648,0.005755217698389758,0.0026129042429894156,-0.0976287154844812,0.0020385597357752577,0.0020385597357752577,0.2406947887908615,,,0.13864534539219922
global_wind,0.012710990230537577,0.024107318960352418,0.006660311546020736,-0.15260730587833915,0.011943986313396193,0.011943986313396193,0.3311218325639497,-1.0655530379775777,-0.18385229592556432,0.12608569061674463
